Date,Time,Time since 1970-01-01T00:00:00Z,,Time since start of measurement,,,
2025-03-21,14:30:21.502015,1742563821.502015,s,64.880366,s,13666,
2025-03-21,14:30:21.747091,1742563821.747091,s,65.125442,s,13682,
2025-03-21,14:30:22.003225,1742563822.003225,s,65.381576,s,13708,
2025-03-21,14:30:22.248149,1742563822.248149,s,65.6265,s,13722,
2025-03-21,14:30:22.504230,1742563822.50423,s,65.882581,s,13753,
2025-03-21,14:30:22.749100,1742563822.7491,s,66.127451,s,13761,
2025-03-21,14:30:23.005258,1742563823.005258,s,66.383609,s,13785,
2025-03-21,14:30:23.250026,1742563823.250026,s,66.628377,s,13801,
2025-03-21,14:30:23.506325,1742563823.506325,s,66.884676,s,13830,
2025-03-21,14:30:23.751095,1742563823.751095,s,67.129446,s,13843,
2025-03-21,14:30:24.007299,1742563824.007299,s,67.38565,s,13861,
2025-03-21,14:30:24.252183,1742563824.252183,s,67.630534,s,13883,
2025-03-21,14:30:24.508139,1742563824.508139,s,67.88649,s,13908,
2025-03-21,14:30:24.753257,1742563824.753257,s,68.131608,s,13922,
2025-03-21,14:30:25.009002,1742563825.009002,s,68.387353,s,13940,
2025-03-21,14:30:25.254324,1742563825.254324,s,68.632675,s,13961,
2025-03-21,14:30:25.509746,1742563825.509746,s,68.888097,s,13982,
2025-03-21,14:30:25.755124,1742563825.755124,s,69.133475,s,13995,
2025-03-21,14:30:26.010552,1742563826.010552,s,69.388903,s,14017,
2025-03-21,14:30:26.256055,1742563826.256055,s,69.634406,s,14042,
2025-03-21,14:30:26.511423,1742563826.511423,s,69.889774,s,14057,
2025-03-21,14:30:26.757005,1742563826.757005,s,70.135356,s,14078,
2025-03-21,14:30:27.012223,1742563827.012223,s,70.390574,s,14094,
2025-03-21,14:30:27.257925,1742563827.257925,s,70.636276,s,14117,
2025-03-21,14:30:27.513157,1742563827.513157,s,70.891508,s,14126,
2025-03-21,14:30:27.758499,1742563827.758499,s,71.13685,s,14148,
2025-03-21,14:30:28.014659,1742563828.014659,s,71.39301,s,14160,
2025-03-21,14:30:28.259474,1742563828.259474,s,71.637825,s,14190,
2025-03-21,14:30:28.515742,1742563828.515742,s,71.894093,s,14196,
2025-03-21,14:30:28.760537,1742563828.760537,s,72.138888,s,14214,
2025-03-21,14:30:29.016876,1742563829.016876,s,72.395227,s,14234,
2025-03-21,14:30:29.261560,1742563829.26156,s,72.639911,s,14246,
2025-03-21,14:30:29.517981,1742563829.517981,s,72.896332,s,14271,
2025-03-21,14:30:29.762609,1742563829.762609,s,73.14096,s,14289,
2025-03-21,14:30:30.019139,1742563830.019139,s,73.39749,s,14308,
2025-03-21,14:30:30.263380,1742563830.26338,s,73.641731,s,14316,
2025-03-21,14:30:30.520128,1742563830.520128,s,73.898479,s,14349,
2025-03-21,14:30:30.764339,1742563830.764339,s,74.14269,s,14345,
2025-03-21,14:30:31.021132,1742563831.021132,s,74.399483,s,14383,
2025-03-21,14:30:31.265189,1742563831.265189,s,74.64354,s,14382,
2025-03-21,14:30:31.522093,1742563831.522093,s,74.900444,s,14419,
2025-03-21,14:30:31.766132,1742563831.766132,s,75.144483,s,14416,
2025-03-21,14:30:32.023007,1742563832.023007,s,75.401358,s,14452,
2025-03-21,14:30:32.267165,1742563832.267165,s,75.645516,s,14463,
2025-03-21,14:30:32.523931,1742563832.523931,s,75.902282,s,14482,
2025-03-21,14:30:32.767938,1742563832.767938,s,76.146289,s,14490,
2025-03-21,14:30:33.024850,1742563833.02485,s,76.403201,s,14515,
2025-03-21,14:30:33.269019,1742563833.269019,s,76.64737,s,14523,
2025-03-21,14:30:33.525791,1742563833.525791,s,76.904142,s,14548,
2025-03-21,14:30:33.770089,1742563833.770089,s,77.14844,s,14557,
2025-03-21,14:30:34.026908,1742563834.026908,s,77.405259,s,14589,
2025-03-21,14:30:34.271177,1742563834.271177,s,77.649528,s,14594,
2025-03-21,14:30:34.527710,1742563834.52771,s,77.906061,s,14614,
2025-03-21,14:30:34.772210,1742563834.77221,s,78.150561,s,14623,
2025-03-21,14:30:35.028679,1742563835.028679,s,78.40703,s,14656,
2025-03-21,14:30:35.273123,1742563835.273123,s,78.651474,s,14665,
2025-03-21,14:30:35.529754,1742563835.529754,s,78.908105,s,14687,
2025-03-21,14:30:35.774114,1742563835.774114,s,79.152465,s,14698,
2025-03-21,14:30:36.030864,1742563836.030864,s,79.409215,s,14710,
2025-03-21,14:30:36.275198,1742563836.275198,s,79.653549,s,14737,
2025-03-21,14:30:36.531814,1742563836.531814,s,79.910165,s,14746,
2025-03-21,14:30:36.776099,1742563836.776099,s,80.15445,s,14771,
2025-03-21,14:30:37.032786,1742563837.032786,s,80.411137,s,14782,
2025-03-21,14:30:37.277064,1742563837.277064,s,80.655415,s,14800,
2025-03-21,14:30:37.533808,1742563837.533808,s,80.912159,s,14820,
2025-03-21,14:30:37.778065,1742563837.778065,s,81.156416,s,14827,
2025-03-21,14:30:38.034832,1742563838.034832,s,81.413183,s,14855,
2025-03-21,14:30:38.279049,1742563838.279049,s,81.6574,s,14867,
2025-03-21,14:30:38.535657,1742563838.535657,s,81.914008,s,14890,
2025-03-21,14:30:38.779896,1742563838.779896,s,82.158247,s,14906,
2025-03-21,14:30:39.036388,1742563839.036388,s,82.414739,s,14915,
2025-03-21,14:30:39.280718,1742563839.280718,s,82.659069,s,14950,
2025-03-21,14:30:39.537340,1742563839.53734,s,82.915691,s,14953,
2025-03-21,14:30:39.781625,1742563839.781625,s,83.159976,s,14974,
2025-03-21,14:30:40.038131,1742563840.038131,s,83.416482,s,14981,
2025-03-21,14:30:40.282562,1742563840.282562,s,83.660913,s,15007,
2025-03-21,14:30:40.539053,1742563840.539053,s,83.917404,s,15015,
2025-03-21,14:30:40.783548,1742563840.783548,s,84.161899,s,15037,
2025-03-21,14:30:41.039960,1742563841.03996,s,84.418311,s,15058,
2025-03-21,14:30:41.284519,1742563841.284519,s,84.66287,s,15069,
2025-03-21,14:30:41.540995,1742563841.540995,s,84.919346,s,15084,
2025-03-21,14:30:41.785493,1742563841.785493,s,85.163844,s,15101,
2025-03-21,14:30:42.041796,1742563842.041796,s,85.420147,s,15118,
2025-03-21,14:30:42.286318,1742563842.286318,s,85.664669,s,15129,
2025-03-21,14:30:42.542842,1742563842.542842,s,85.921193,s,15156,
2025-03-21,14:30:42.786847,1742563842.786847,s,86.165198,s,15157,
2025-03-21,14:30:43.044027,1742563843.044027,s,86.422378,s,15177,
2025-03-21,14:30:43.287835,1742563843.287835,s,86.666186,s,15190,
2025-03-21,14:30:43.545263,1742563843.545263,s,86.923614,s,15215,
2025-03-21,14:30:43.788918,1742563843.788918,s,87.167269,s,15214,
2025-03-21,14:30:44.046050,1742563844.04605,s,87.424401,s,15250,
2025-03-21,14:30:44.290153,1742563844.290153,s,87.668504,s,15263,
2025-03-21,14:30:44.547196,1742563844.547196,s,87.925547,s,15281,
2025-03-21,14:30:44.791196,1742563844.791196,s,88.169547,s,15295,
2025-03-21,14:30:45.048154,1742563845.048154,s,88.426505,s,15312,
2025-03-21,14:30:45.292031,1742563845.292031,s,88.670382,s,15325,
2025-03-21,14:30:45.549113,1742563845.549113,s,88.927464,s,15333,
2025-03-21,14:30:45.792888,1742563845.792888,s,89.171239,s,15347,
2025-03-21,14:30:46.050130,1742563846.05013,s,89.428481,s,15368,
2025-03-21,14:30:46.293874,1742563846.293874,s,89.672225,s,15385,
2025-03-21,14:30:46.551055,1742563846.551055,s,89.929406,s,15394,
2025-03-21,14:30:46.794688,1742563846.794688,s,90.173039,s,15408,
2025-03-21,14:30:47.051952,1742563847.051952,s,90.430303,s,15431,
2025-03-21,14:30:47.295407,1742563847.295407,s,90.673758,s,15435,
2025-03-21,14:30:47.552832,1742563847.552832,s,90.931183,s,15454,
2025-03-21,14:30:47.796351,1742563847.796351,s,91.174702,s,15478,
2025-03-21,14:30:48.053746,1742563848.053746,s,91.432097,s,15483,
2025-03-21,14:30:48.297420,1742563848.29742,s,91.675771,s,15503,
2025-03-21,14:30:48.554587,1742563848.554587,s,91.932938,s,15512,
