Date,Time,Time since 1970-01-01T00:00:00Z,,Time since start of measurement,,,
2024-12-11,14:49:16.803817,1733924956.803817,s,69.140841,s,70.0,°C
2024-12-11,14:49:17.062493,1733924957.062493,s,69.399517,s,70.0,°C
2024-12-11,14:49:17.305252,1733924957.305252,s,69.642276,s,70.0,°C
2024-12-11,14:49:17.563525,1733924957.563525,s,69.900549,s,70.0,°C
2024-12-11,14:49:17.806342,1733924957.806342,s,70.143366,s,70.0,°C
2024-12-11,14:49:18.064936,1733924958.064936,s,70.40196,s,70.0,°C
2024-12-11,14:49:18.307525,1733924958.307525,s,70.644549,s,70.0,°C
2024-12-11,14:49:18.565968,1733924958.565968,s,70.902992,s,70.0,°C
2024-12-11,14:49:18.808947,1733924958.808947,s,71.145971,s,70.0,°C
2024-12-11,14:49:19.066439,1733924959.066439,s,71.403463,s,70.0,°C
2024-12-11,14:49:19.310054,1733924959.310054,s,71.647078,s,70.0,°C
2024-12-11,14:49:19.566950,1733924959.56695,s,71.903974,s,70.0,°C
2024-12-11,14:49:19.811211,1733924959.811211,s,72.148235,s,70.0,°C
2024-12-11,14:49:20.068038,1733924960.068038,s,72.405062,s,70.0,°C
2024-12-11,14:49:20.312177,1733924960.312177,s,72.649201,s,70.0,°C
2024-12-11,14:49:20.569035,1733924960.569035,s,72.906059,s,70.0,°C
2024-12-11,14:49:20.813471,1733924960.813471,s,73.150495,s,70.0,°C
2024-12-11,14:49:21.070016,1733924961.070016,s,73.40704,s,70.0,°C
2024-12-11,14:49:21.314503,1733924961.314503,s,73.651527,s,70.0,°C
2024-12-11,14:49:21.570916,1733924961.570916,s,73.90794,s,70.0,°C
2024-12-11,14:49:21.815594,1733924961.815594,s,74.152618,s,70.0,°C
2024-12-11,14:49:22.071850,1733924962.07185,s,74.408874,s,70.0,°C
2024-12-11,14:49:22.316558,1733924962.316558,s,74.653582,s,70.0,°C
2024-12-11,14:49:22.572936,1733924962.572936,s,74.90996,s,70.0,°C
2024-12-11,14:49:22.817698,1733924962.817698,s,75.154722,s,70.0,°C
2024-12-11,14:49:23.073969,1733924963.073969,s,75.410993,s,70.0,°C
2024-12-11,14:49:23.318633,1733924963.318633,s,75.655657,s,70.0,°C
2024-12-11,14:49:23.574911,1733924963.574911,s,75.911935,s,70.0,°C
2024-12-11,14:49:23.819148,1733924963.819148,s,76.156172,s,70.0,°C
2024-12-11,14:49:24.075964,1733924964.075964,s,76.412988,s,70.0,°C
2024-12-11,14:49:24.320126,1733924964.320126,s,76.65715,s,70.0,°C
2024-12-11,14:49:24.576948,1733924964.576948,s,76.913972,s,70.0,°C
2024-12-11,14:49:24.821457,1733924964.821457,s,77.158481,s,70.0,°C
2024-12-11,14:49:25.078069,1733924965.078069,s,77.415093,s,70.0,°C
2024-12-11,14:49:25.322363,1733924965.322363,s,77.659387,s,70.0,°C
2024-12-11,14:49:25.579088,1733924965.579088,s,77.916112,s,70.0,°C
2024-12-11,14:49:25.823487,1733924965.823487,s,78.160511,s,70.0,°C
2024-12-11,14:49:26.080455,1733924966.080455,s,78.417479,s,70.0,°C
2024-12-11,14:49:26.324498,1733924966.324498,s,78.661522,s,70.0,°C
2024-12-11,14:49:26.581509,1733924966.581509,s,78.918533,s,70.0,°C
2024-12-11,14:49:26.825536,1733924966.825536,s,79.16256,s,70.0,°C
2024-12-11,14:49:27.082617,1733924967.082617,s,79.419641,s,70.0,°C
2024-12-11,14:49:27.326494,1733924967.326494,s,79.663518,s,70.0,°C
2024-12-11,14:49:27.583705,1733924967.583705,s,79.920729,s,70.0,°C
2024-12-11,14:49:27.827564,1733924967.827564,s,80.164588,s,70.0,°C
2024-12-11,14:49:28.085063,1733924968.085063,s,80.422087,s,70.0,°C
2024-12-11,14:49:28.328594,1733924968.328594,s,80.665618,s,70.0,°C
2024-12-11,14:49:28.586244,1733924968.586244,s,80.923268,s,70.0,°C
2024-12-11,14:49:28.829522,1733924968.829522,s,81.166546,s,70.0,°C
2024-12-11,14:49:29.087347,1733924969.087347,s,81.424371,s,70.0,°C
2024-12-11,14:49:29.330358,1733924969.330358,s,81.667382,s,70.0,°C
2024-12-11,14:49:29.588331,1733924969.588331,s,81.925355,s,70.0,°C
2024-12-11,14:49:29.831315,1733924969.831315,s,82.168339,s,70.0,°C
2024-12-11,14:49:30.089482,1733924970.089482,s,82.426506,s,70.0,°C
2024-12-11,14:49:30.332264,1733924970.332264,s,82.669288,s,70.0,°C
2024-12-11,14:49:30.590638,1733924970.590638,s,82.927662,s,70.0,°C
2024-12-11,14:49:30.833486,1733924970.833486,s,83.17051,s,70.0,°C
2024-12-11,14:49:31.091767,1733924971.091767,s,83.428791,s,70.0,°C
2024-12-11,14:49:31.334843,1733924971.334843,s,83.671867,s,70.0,°C
2024-12-11,14:49:31.592712,1733924971.592712,s,83.929736,s,70.0,°C
